Date,Category,Format,Hook,Post body,CTA,Hashtags,Status,Notes
2026-05-13,Web design tips,short-educational,Tu web no tiene que ser bonita. Tiene que convertir.,"La mayoría de los negocios locales tienen una web que parece un folleto.

Se ve bien, pero no hace nada.

Una web que convierte tiene una cosa clara: le dice al visitante qué tiene que hacer y por qué hacerlo ahora.

Sin eso, el diseño da igual.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#DiseñoWeb #MarketingDigital #NegociosLocales,Draft,
2026-05-14,SEO local tips,checklist,"Antes de hacer publicidad, asegúrate de que te encuentren gratis.","Si tienes un negocio local, esto es lo mínimo que necesitas en Google:

✓ Ficha de Google Business actualizada
✓ Nombre, dirección y teléfono iguales en todos sitios
✓ Categoría correcta
✓ Al menos 10 fotos reales del negocio
✓ Responder a las reseñas

Sin esto, los anuncios de pago tienen menos impacto del que esperarías.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#SEOLocal #GoogleBusiness #NegociosLocales #MarketingDigital,Draft,
2026-05-15,Common website mistakes,mistake,3 errores que veo en webs de negocios locales casi siempre.,"1. El número de teléfono no se puede pulsar en móvil.
2. La web tarda más de 3 segundos en cargar.
3. No hay ningún botón claro de ""contactar"" o ""reservar"".

Son cosas pequeñas, pero cuestan clientes reales.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#DiseñoWeb #ErroresWeb #NegociosLocales #MarketingDigital,Draft,
2026-05-16,Google Ads tips,short-educational,Google Ads no es tirar dinero. Pero puede serlo si no sabes lo que miras.,"Lo que más veo en cuentas de pequeños negocios:

— Palabras clave demasiado genéricas
— Sin lista de palabras negativas
— Landing page que no tiene nada que ver con el anuncio

El problema no suele ser el presupuesto. Es a dónde va ese presupuesto.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#GoogleAds #PublicidadOnline #MarketingDigital #NegociosLocales,Draft,
2026-05-17,Lessons from building Kuraianto,story,Lo que aprendí las primeras semanas contactando negocios locales.,"Pensé que la parte difícil iba a ser el servicio. Resulta que es llegar a la persona que decide.

La mayoría de los contactos van a quien responde el teléfono o Instagram, no al dueño.

Cambié el enfoque: mensajes directos, cortos, con algo concreto que ofrecerles. Sin rodeos.

Aún estoy aprendiendo, pero ese cambio marcó la diferencia.",Puedes ver más en kuraianto.com,#Emprendimiento #Ventas #MarketingDigital #Agencia,Draft,
2026-05-18,Meta Ads tips,short-educational,Un anuncio de Meta bien hecho no parece un anuncio.,"Los mejores resultados en Meta Ads son de creatividades que parecen contenido normal.

Una foto real del negocio. Una situación cotidiana. Una frase directa.

Nada de stock photos con letras en Comic Sans.

La gente no para el scroll por un banner. Para por algo que le resulta familiar o relevante.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#MetaAds #FacebookAds #PublicidadDigital #MarketingDigital,Draft,
2026-05-19,Advice for restaurants,opinion,Instagram no reemplaza una web para tu restaurante.,"Instagram es para descubrir. Una web es para decidir.

Cuando alguien ve tu restaurante en Instagram y le interesa, lo primero que hace es buscarte en Google.

Si no te encuentra, o lo que ve no le convence, va al siguiente.

No tienes que elegir entre Instagram y una web. Las dos hacen cosas distintas.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#Restaurantes #MarketingDigital #DiseñoWeb #NegociosLocales,Draft,
2026-05-20,Lead generation,checklist,"Antes de pagar por publicidad, revisa esto.","Si vas a invertir en anuncios, estas cosas tienen que estar en orden primero:

✓ Tu web carga bien en móvil
✓ Hay un formulario o botón de contacto visible
✓ Tienes claro qué quieres que haga el visitante
✓ Alguien va a responder los mensajes que lleguen

Publicidad en una web rota es como llenar agua en un cubo con agujeros.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#GeneraciónDeLeads #MarketingDigital #PublicidadOnline #NegociosLocales,Draft,
2026-05-21,AI for small businesses,short-educational,La IA no va a sustituir tu negocio. Pero puede ahorrarte horas.,"Cosas que uso con IA en el día a día:

— Responder correos difíciles más rápido
— Hacer resúmenes de reuniones
— Crear primeros borradores de textos para webs
— Revisar presupuestos antes de enviarlos

No hace magia. Pero sí reduce el tiempo en tareas que antes quitaban la mañana.",Puedes ver más en kuraianto.com,#InteligenciaArtificial #Productividad #Emprendimiento #NegociosLocales,Draft,
2026-05-22,Outreach / sales lessons,story,Mandé 50 mensajes a negocios locales. Esto es lo que pasó.,"La mayoría no respondió. Algunos dijeron que ya tenían web.

Pero unos pocos contestaron con algo interesante: ""¿qué me ofrecerías exactamente?""

Eso me enseñó que el mensaje no puede ser ""tengo una agencia"". Tiene que ser ""esto es lo que puedo hacer por ti, específicamente"".

La personalización no es opcional. Es lo único que funciona.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#Ventas #Outreach #Emprendimiento #MarketingDigital,Draft,
2026-05-23,SEO local tips,opinion,Google no posiciona webs. Posiciona respuestas.,"Cuando alguien busca ""dentista en Valencia"", Google le quiere dar la mejor respuesta posible.

Si tu web habla de ti pero no responde lo que la gente pregunta, tendrás problemas para aparecer.

¿Tu web responde: dónde estás, qué haces, a quién ayudas, cómo contactar?

Si no, eso es lo primero que cambiaría.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#SEOLocal #MarketingDigital #DiseñoWeb #NegociosLocales,Draft,
2026-05-24,Advice for clinics,short-educational,Una clínica sin web actualizada parece que ya no existe.,"No lo digo yo. Lo dice el paciente que te busca en Google y no encuentra nada reciente.

Una web básica pero actualizada transmite:
— Que sigues abierto
— Que eres profesional
— Que te pueden encontrar fácilmente

No hace falta que sea cara. Hace falta que esté.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#Clinicas #MarketingDigital #DiseñoWeb #NegociosLocales,Draft,
2026-05-25,Common website mistakes,mistake,Tu web tiene menos de 5 segundos para convencerme.,"En serio. Los estudios dicen 3. Yo te doy 5 por generoso.

Si en ese tiempo no entiendo qué haces, para quién lo haces y qué tengo que hacer a continuación, me voy.

Revisa tu web ahora mismo.

¿Está claro desde el primer vistazo?","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#DiseñoWeb #UX #MarketingDigital #NegociosLocales,Draft,
2026-05-26,Google Ads tips,checklist,"Si usas Google Ads, asegúrate de tener esto configurado.","Lista básica antes de activar ninguna campaña:

✓ Conversiones de formulario configuradas
✓ Seguimiento de llamadas activado
✓ Lista de palabras negativas mínima
✓ Extensiones de llamada y ubicación activas
✓ Presupuesto diario que puedes mantener al menos 30 días

Sin esto, gastarás dinero sin saber qué está funcionando.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#GoogleAds #MarketingDigital #PublicidadOnline #Emprendimiento,Draft,
2026-05-27,Lessons from building Kuraianto,story,Por qué empecé ofreciendo demos gratis antes de cobrar nada.,"Cuando monté Kuraianto, me di cuenta de algo: pedir confianza sin dar nada primero es difícil.

Entonces decidí que antes de hablar de precios, mostraría el producto. Una demo real del sitio web que podría tener ese negocio.

No para regalar trabajo. Sino para que la conversación parta de algo concreto.

Es más fácil decir sí a algo que ya puedes ver.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#Emprendimiento #Ventas #DiseñoWeb #NegociosLocales,Draft,
2026-05-28,Meta Ads tips,checklist,"Antes de crear un anuncio en Meta, responde estas preguntas.","¿A quién le estoy hablando exactamente?
¿Qué problema tiene esa persona?
¿Qué quiero que haga al ver el anuncio?
¿La imagen o vídeo capta la atención en los primeros 2 segundos?
¿El texto es claro sin tener que leerlo todo?

Si no tienes respuesta para alguna de estas, para antes de gastar presupuesto.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#MetaAds #PublicidadDigital #MarketingDigital #FacebookAds,Draft,
2026-05-29,Lead generation,opinion,La mejor fuente de clientes para un negocio local sigue siendo Google.,"Las redes sociales son buenas para visibilidad. Google es donde la gente va cuando ya quiere comprar o contratar.

Está buscando activamente. Tiene intención. Solo necesitas aparecer delante de él en el momento correcto.

Por eso SEO local y Google Ads bien configurados suelen dar mejor retorno que Meta para la mayoría de negocios locales.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#SEOLocal #GoogleAds #NegociosLocales #MarketingDigital,Draft,
2026-05-30,Advice for local businesses,short-educational,El boca a boca está bien. Hasta que necesitas más clientes.,"Hay negocios que llevan años funcionando solo por recomendaciones. Y funciona, hasta que no funciona.

Una temporada floja, un verano raro, un competidor nuevo cerca.

Tener una web y un perfil de Google bien puesto es el seguro básico.

No reemplaza el boca a boca. Lo complementa.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#NegociosLocales #MarketingDigital #DiseñoWeb #Emprendimiento,Draft,
2026-05-31,AI for small businesses,checklist,Estas herramientas de IA te pueden ahorrar horas cada semana.,"Sin complicaciones:

✓ ChatGPT o Claude para textos y correos
✓ Canva con IA para imágenes rápidas
✓ Notion AI para organizar notas y ideas
✓ Otter.ai para transcribir reuniones

Ninguna cuesta más de 20€ al mes. Todas hacen cosas que antes tardaban horas.",Puedes ver más en kuraianto.com,#InteligenciaArtificial #Productividad #NegociosLocales #Herramientas,Draft,
2026-06-01,Case-style posts,story,Qué cambia en un negocio cuando arreglan su web.,"Sin dar nombres, he visto negocios que:

— Pasaron de no aparecer en Google a salir en los primeros resultados de su ciudad.
— Dejaron de recibir llamadas confusas porque la web ya explicaba bien los servicios.
— Empezaron a recibir mensajes de personas que ""vieron la web"".

No son milagros. Son consecuencias lógicas de tener presencia digital que funciona.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#DiseñoWeb #SEOLocal #NegociosLocales #MarketingDigital,Draft,
2026-06-02,Outreach / sales lessons,opinion,El mayor error al vender servicios digitales a negocios locales.,"Hablar de tecnología cuando el cliente habla de clientes.

A un restaurante no le importa si tu web usa React o WordPress. Le importa si va a conseguir más reservas.

El lenguaje tiene que ser el de su problema, no el de tu solución.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#Ventas #MarketingDigital #Emprendimiento #Agencia,Draft,
